Legajo;Nombre;Clasificación;Tipo
18307;FERNANDA PIZARRO VIAJES;Empresa de Viajes y Turismo;Receptivo
18310;APIS TOUR MENDOZA;Empresa de Viajes y Turismo;Receptivo
18311;FUTURO TRAVELS;Empresa de Viajes y Turismo;Receptivo
18333;UVAUVA;Empresa de Viajes y Turismo;Receptivo
18367;BRENCAR VIAJES Y TURISMO;Empresa de Viajes y Turismo;Emisivo,Receptivo
18372;MENDOZA BELLA;Empresa de Viajes y Turismo;Receptivo
18390;CARA SUR VIAJES Y TURISMO;Empresa de Viajes y Turismo;Emisivo,Receptivo,Mayorista
18396;ARWINE;Empresa de Viajes y Turismo;Emisivo,Receptivo,Tour Operador
18399;BUS VITIVINICOLA;Empresa de Viajes y Turismo;Emisivo,Receptivo
18404;ARCOBALENO VIAJES;Empresa de Viajes y Turismo;Emisivo,Receptivo
18405;MIS REYNAS;Empresa de Viajes y Turismo;Emisivo,Receptivo,Estudiantil,Emite Pasajes (IATA),Tour Operador
18414;VEMPRA;Empresa de Viajes y Turismo;Emisivo,Receptivo
18420;BLENDOZA;Empresa de Viajes y Turismo;Emisivo,Receptivo,Emite Pasajes (IATA),Tour Operador
18431;RODMAR TRAVEL;Empresa de Viajes y Turismo;Receptivo
18448;ALLENTIAK TOURS;Empresa de Viajes y Turismo;Emisivo,Receptivo,Tour Operador
18479;BARAK DRIVERS;Empresa de Viajes y Turismo;Receptivo
18508;CUARZO VIAJES;Agencia de Viajes y Turismo;Emisivo,Receptivo,Estudiantil,Emite Pasajes (IATA),Tour Operador,Mayorista
18509;DI MARCO TOURS;Empresa de Viajes y Turismo;Emisivo,Receptivo,Mayorista
18512;DOS COPAS;Empresa de Viajes y Turismo;Receptivo
18519;POSIBLE E.V.T.;Empresa de Viajes y Turismo;Emisivo,Receptivo,Mayorista
18528;ENTRE VIAJES;Empresa de Viajes y Turismo;Emisivo
18541;ENVERO TOURS;Empresa de Viajes y Turismo;Receptivo
18546;SNOWCAMP;Empresa de Viajes y Turismo;Receptivo
18574;INES APARICIO VIAJES;Agencia de Viajes y Turismo;Emisivo
18590;ENVERO;Agencia de Viajes y Turismo;Emisivo,Receptivo
18592;LOVANA VIAJES Y TURISMO;Agencia de Viajes y Turismo;Receptivo,Estudiantil
18598;VIVELO;Agencia de Viajes y Turismo;Emisivo,Receptivo
18600;JARILLA SERVICIOS TURISTICOS;Empresa de Viajes y Turismo;Emisivo,Receptivo
18610;DALO VIAJES;Empresa de Viajes y Turismo;Emisivo,Receptivo
18625;WINE PASS;Empresa de Viajes y Turismo;Emisivo,Receptivo
18633;MENDOZA CUSTOMIZED TOURS;Empresa de Viajes y Turismo;Receptivo
18635;ROCKSTONE TRAVELS;Empresa de Viajes y Turismo;Receptivo
18700;RUMBOS TURISMO;Empresa de Viajes y Turismo;Emisivo,Receptivo
18708;PEREGRINE TRAVELS;Empresa de Viajes y Turismo;Emisivo,Receptivo,Emite Pasajes (IATA),Tour Operador,Mayorista
18720;MALBEC MENDOZA TRIPS;Empresa de Viajes y Turismo;Receptivo
18754;VINICA;Agencia de Viajes y Turismo;Receptivo
18835;UVA VIAGENS;Empresa de Viajes y Turismo;Receptivo
18903;DESTINO MALBEC;Empresa de Viajes y Turismo;Receptivo
18913;WILD FLORA TRAVEL DESIGNERS;Empresa de Viajes y Turismo;Receptivo
18918;VINOYENDO;Empresa de Viajes y Turismo;Receptivo
18926;SERVICIOS TURISTICOS GABRIEL VALENTIN;Empresa de Viajes y Turismo;Receptivo
18929;REDWINE TOUR;Empresa de Viajes y Turismo;Receptivo
18969;MI VIAJE A MENDOZA;Empresa de Viajes y Turismo;Receptivo
18977;SIRIO VIAJES;Empresa de Viajes y Turismo;Receptivo
18978;MELHOR MENDOZA;Empresa de Viajes y Turismo;Receptivo
18980;VINHOS MENDOZA;Empresa de Viajes y Turismo;Receptivo
18981;MEL TRAVEL & WINE;Empresa de Viajes y Turismo;Receptivo
18982;MY LITTLE WALK;Empresa de Viajes y Turismo;Receptivo
19057;MARGA TOUR;Empresa de Viajes y Turismo;Receptivo
19065;MONMAR TRAVLE;Empresa de Viajes y Turismo;Receptivo
19069;ONE CLICK TRAVEL;Empresa de Viajes y Turismo;Receptivo
19088;VINARTE TOURS;Empresa de Viajes y Turismo;Receptivo
