ID,Nombre,Habitaciones,Parcelas,Plazas,Cabañas,Fecha Inscripción,Departamento,Clasificación,Localidad
1123,LUPULITO LODGE,0,4,8,4,11/07/2024,Lujan,Hospedaje,LAS COMPUERTAS
1124,OCEAN,19,0,38,0,15/07/2024,Guaymallen,Hospedaje,SAN JOSE
1126,HAKUMA MATATA APARTMENTS,4,0,16,4,22/07/2024,Malargue,Hospedaje,MALARGUE 
1128,LA MORADA LONGE,31,0,62,17,30/07/2024,Tunuyan,Hospedaje,LOS CHACAYES
1129,PUESTO DEL INDIO LODGE,27,0,73,0,31/07/2024,Las Heras,Hospedaje,EL CHALLAO
1130,CABAÑAS ELITA,6,0,20,4,19/03/2024,San Rafael,Cabañas,RAMA CAIDA
1131,MARTINA MANUEL,3,0,18,0,07/08/2024,San Rafael,Hospedaje,VALLE GRANDE
1133,COMPLEJO VILLA BONITA,8,0,0,6,10/07/2024,San Rafael,Hospedaje,VILLA 25 DE MAYO
1134,CABAÑAS DEL DIAMANTE,0,0,0,0,10/07/2024,San Rafael,Hospedaje,VILLA 25 DE MAYO
1135,CABAÑAS JIM YES,0,0,0,0,10/07/2024,San Rafael,Hospedaje,RAMA CAIDA
1136,MM-MALVONES MENDOCINOS,3,0,6,1,20/08/2024,Lujan,PAT (Propiedad Alquiler Temporario),CARRODILLA
1137,TERRUÑOS DE PILAR,0,1,15,4,21/08/2024,Malargue,Hospedaje,MALARGUE
1138,ILLARIY - CASA DE CAMPO,1,0,6,0,19/01/2021,Las Heras,Hospedaje,USPALLATA
1139,AYUM ELUN ALDEA DE RIO,0,0,0,0,19/08/2024,San Rafael,Hospedaje,EL NIHUIL
1140,ROBERTO CEFERINO BADUI,1,0,4,0,29/08/2024,Capital,PAT (Propiedad Alquiler Temporario),CIUDAD
1141,REFUGIO INKA,3,0,12,0,29/08/2024,Malargue,Hospedaje,LOS MOLLES 
1142,SOLEADO APART HOTEL,17,0,62,0,03/09/2024,San Rafael,Hospedaje,SAN RAFAEL
1143,LA JARILLA,3,0,16,0,06/09/2024,San Rafael,Hostel,SAN RAFAEL
1144,CABAÑAS LA MONTIELITA,4,0,14,3,09/09/2024,San Rafael,Cabañas,RAMA CAIDA 
1145,LE MONTREAL,18,0,36,0,10/09/2024,Capital,Hospedaje,CAPITAL
1146,CABAÑAS DEL VALLE,0,0,70,10,11/09/2024,San Rafael,Hospedaje,RAMA CAIDA
1147,VALLE HERMOSO ECO LODGE,8,5,34,0,23/09/2024,Malargue,Hospedaje,VALLE HERMOSO
1148,HOTEL SM,39,0,85,0,24/09/2024,Capital,Hospedaje,CIUDAD
1149,TORRE PELLEGRINI MENDOZA,9,0,23,0,02/10/2024,Guaymallen,Hospedaje,GUAYMALLEN
1150,HOTEL PETIT,18,0,42,0,19/09/2024,Capital,Hospedaje,CIUDAD
1151,KAPAC,20,0,55,0,03/10/2024,Capital,Hospedaje,CIUDAD
1152,CABAÑAS DEL MESON,3,1,13,3,07/10/2024,Lujan,Hospedaje,POTRERILLOS
1153,EL GALLEGO,5,2,18,2,08/10/2024,Junin,Hospedaje,ALGARROBO GRANDE
1154,CORDERO NEGRO,5,0,10,0,08/10/2024,Malargue,Bed & Breakfast,MALARGUE
1155,ANTONIETA HOSTEL,6,0,28,0,14/10/2024,San Rafael,Hostel,CIUDAD
1156,MAYO,19,0,45,0,21/10/2024,Capital,Hospedaje,CIUDAD
1157,WH CASA DE HUESPEDES,18,0,39,0,22/10/2024,Capital,Hospedaje,CIUDAD
1158,RINCON DE LA ENSENADA,0,0,0,0,25/10/2024,San Rafael,Hospedaje,RAMA CAIDA
1159,HOTEL VALLE GRANDE,32,0,270,14,12/08/2024,San Rafael,Hospedaje,EL NIHUIL
1160,JARDIN,10,0,20,0,15/07/2024,Guaymallen,Hospedaje,SAN JOSE
1161,MEMBRILLAR DE MONTAÑA,0,0,0,0,12/03/2024,San Rafael,Hospedaje,VALLE GRANDE
1162,KITEK HOTEL BOUTIQUE,9,0,0,0,14/11/2024,Guaymallen,Hospedaje,SAN JOSE
1163,VILLA INES,25,0,60,0,20/11/2024,Capital,Hotel,3 A.SECCION
1164,ALEGRIA,20,0,45,0,04/12/2024,San Rafael,PAT (Propiedad Alquiler Temporario),SAN RAFAEL
1166,HOTEL BUENOS AIRES,20,0,62,0,31/07/2024,Gral. Alvear,Hospedaje,GENERAL ALVEAR
